"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName"
"IT Administrators","CN=Garth Fort","True","Garth","garthf@contoso.com","CN=Karim Manar","Garth Fort","user","09636eb3-0cab-4051-9606-37c549330110","(206) 555-8258","garthf","S-1-5-21-331390976-2650875657-2422772959-1715","Fort","Fort","HR Manager",
"Strategy Consulting","CN=Cesar Garcia","True","Cesar","cesarg@contoso.com","CN=Christine Koch","Cesar Garcia","user","8ad45b6d-8c85-496a-a2d9-78422c4ee663","(212) 555-4178","cesarg","S-1-5-21-331390976-2650875657-2422772959-1716","Garcia","Garcia","Strategy Consulting Manager",
"Executive","CN=Christa Geller","True","Christa","christg@contoso.com","CN=Jeff Hay","Christa Geller","user","99612e2d-ea29-44ed-bc7e-bd17d5fd84a7","(425) 555-0177","christg","S-1-5-21-331390976-2650875657-2422772959-1717","Geller","Geller","CVP of Online",
"Human Resources","CN=Jack Creasey","True","Jack","jackc@contoso.com","CN=Dan Park","Jack Creasey","user","2a43d793-7367-4a3e-8c6e-5ec955a52038","(206) 555-4676","jackc","S-1-5-21-331390976-2650875657-2422772959-1718","Creasey","Creasey","Managing Director",
"Strategy Consulting","CN=David Maman","True","David","davidm@contoso.com","CN=Christine Koch","David Maman","user","f88a171c-b337-4c26-9c4b-824bb74a0729","(212) 555-2867","davidm","S-1-5-21-331390976-2650875657-2422772959-1719","Maman","Maman","Strategy Consulting Manager",
"Sales","CN=Alan Brewer","True","Alan","alanb@contoso.com","CN=Jack Creasey","Alan Brewer","user","9476eed7-4e97-4378-b0be-0d8ca07906fd","(804) 555-2217","alanb","S-1-5-21-331390976-2650875657-2422772959-1720","Brewer","Brewer","Regional Sales Manager",
"Human Resources","CN=David Simpson","True","David","davids@contoso.com","CN=Alan Brewer","David Simpson","user","4d339518-1c4e-46dd-8024-829f555b1562","(206) 555-1123","davids","S-1-5-21-331390976-2650875657-2422772959-1721","Simpson","Simpson","Sales Manager",
"Senior Management","CN=Anna Lidman","True","Anna","annal@contoso.com","CN=Christa Geller","Anna Lidman","user","d70e0bad-9aca-44c7-94cb-12bc7ca5f222","(425) 555-0172","annal","S-1-5-21-331390976-2650875657-2422772959-1722","Lidman","Lidman","SVP of Online Services",
"Sales","CN=Eduard Dell","True","Eduard","eduardd@contoso.com","CN=Jack Creasey","Eduard Dell","user","37b056d8-f63e-412b-b172-63d60d35ea56","(360) 555-4638","eduardd","S-1-5-21-331390976-2650875657-2422772959-1723","Dell","Dell","Regional Sales Manager",
"Sales","CN=Spencer Low","True","Spencer","spencel@contoso.com","CN=Jack Creasey","Spencer Low","user","72bd066c-d0ac-4e94-af41-11bd70dd7d40","(253) 555-7934","spencel","S-1-5-21-331390976-2650875657-2422772959-1724","Low","Low","Regional Sales Manager",
"Operations","CN=Kelly Weadock","True","Kelly","kellyw@contoso.com","CN=Adam Barr","Kelly Weadock","user","50c573a3-0619-4e1b-b433-401a333c7372","(206) 555-8936","kellyw","S-1-5-21-331390976-2650875657-2422772959-1725","Weadock","Weadock","CTO of Professional Services",
"Senior Management","CN=Molly Clark","True","Molly","mollyc@contoso.com","CN=Anna Lidman","Molly Clark","user","e644bedd-9b3a-4fa5-be62-f027f2e97dd5","(425) 555-0192","mollyc","S-1-5-21-331390976-2650875657-2422772959-1726","Clark","Clark","GM of Online Ad Sales and Affiliate Marketing",
"Sales","CN=Larry Zhang","True","Larry","larryz@contoso.com","CN=Jack Creasey","Larry Zhang","user","5f35988c-afb1-4107-9b1a-935f91f3bf71","(914) 555-7414","larryz","S-1-5-21-331390976-2650875657-2422772959-1727","Zhang","Zhang","Regional Sales Manager",
"Operations","CN=Arturo Lopez","True","Arturo","arturol@contoso.com","CN=Kelly Weadock","Arturo Lopez","user","a528dc1d-0042-484d-81cb-dc58c95d8147","(206) 555-3186","arturol","S-1-5-21-331390976-2650875657-2422772959-1728","Lopez","Lopez","IT Director",
"Sales","CN=April Stewart","True","April","aprils@contoso.com","CN=Eduard Dell","April Stewart","user","2bfaa552-d9a5-41e9-a6c3-5be62b4433c8","(312) 555-5454","aprils","S-1-5-21-331390976-2650875657-2422772959-1729","Stewart","Stewart","Sales Manager",
"Strategy Consulting","CN=Aaron Painter","True","Aaron","aaronp@contoso.com","CN=Christine Koch","Aaron Painter","user","907dbfd3-298a-4388-8dd9-707760dd3092","(212) 555-8335","aaronp","S-1-5-21-331390976-2650875657-2422772959-1730","Painter","Painter","Strategy Consulting Manager",
"Project Management","CN=Andrew Ma","True","Andrew","andrewm@contoso.com","CN=Alan Steiner","Andrew Ma","user","d7777583-6b90-40eb-91a8-6f2bf2791f4e","(206) 555-6345","andrewm","S-1-5-21-331390976-2650875657-2422772959-1731","Ma","Ma","Senior Project Manager",
"Marketing","CN=Diane Prescott","True","Diane","dianep@contoso.com","CN=Molly Clark","Diane Prescott","user","99fc0f94-9573-477f-8e02-ca842e069b8c","(425) 555-0164","dianep","S-1-5-21-331390976-2650875657-2422772959-1732","Prescott","Prescott","Director of Ad Sales",
"Human Resources","CN=Arthur Yasinski","True","Arthur","arthury@contoso.com","CN=Spencer Low","Arthur Yasinski","user","6a11df26-6b53-4baf-b3c8-25add379d21f","(214) 555-3187","arthury","S-1-5-21-331390976-2650875657-2422772959-1733","Yasinski","Yasinski","Sales Manager",
"Strategy Consulting","CN=Brad Sutton","True","Brad","brads@contoso.com","CN=Christine Koch","Brad Sutton","user","22b24470-babd-435b-9349-23c1bcadd849","(212) 555-9758","brads","S-1-5-21-331390976-2650875657-2422772959-1734","Sutton","Sutton","Strategy Consulting Manager",
"IT Administrators","CN=Amy Alberts","True","Amy","amya@contoso.com","CN=Garth Fort","Amy Alberts","user","d24e5009-dcf1-4d20-9aa3-874a83283cf0","(206) 555-1346","amya","S-1-5-21-331390976-2650875657-2422772959-1735","Alberts","Alberts","HR Manager",
"Sales","CN=Steve Luper","True","Steve","stevel@contoso.com","CN=Jack Creasey","Steve Luper","user","1f666335-b35b-4db6-ad36-a8c93358c611","(619) 555-7772","stevel","S-1-5-21-331390976-2650875657-2422772959-1736","Luper","Luper","Regional Sales Manager",
"Senior Management","CN=Julian Isla","True","Julian","juliani@contoso.com","CN=Molly Clark","Julian Isla","user","81066423-effe-4a10-aa35-4aa10ae0510c","(425) 555-0184","juliani","S-1-5-21-331390976-2650875657-2422772959-1737","Isla","Isla","Sr. Business Development Manager",
"Project Management","CN=Scott Bishop","True","Scott","scottb@contoso.com","CN=Alan Steiner","Scott Bishop","user","1eb018bb-7347-46fd-8d83-35ad5aaa731e","(206) 555-9977","scottb","S-1-5-21-331390976-2650875657-2422772959-1738","Bishop","Bishop","Senior Project Manager",
"Marketing","CN=Kelly Krout","True","Kelly","kellyk@contoso.com","CN=Adam Barr","Kelly Krout","user","7139b430-f5e4-4dc2-8b1f-1921b54f42a5","(206) 555-6511","kellyk","S-1-5-21-331390976-2650875657-2422772959-1739","Krout","Krout","Marketing Manager",
"IT Support","CN=Stan Orme","True","Stan","stano@contoso.com","CN=Alan Steiner","Stan Orme","user","e89f603c-3707-49a1-92ad-dc6a231b32f8","(206) 555-6169","stano","S-1-5-21-331390976-2650875657-2422772959-1740","Orme","Orme","IT Support Manager",
"Project Management","CN=Mike Nash","True","Mike","miken@contoso.com","CN=Alan Steiner","Mike Nash","user","acacc661-f71d-490a-9cb8-0b7bdfe7c669","(206) 555-8148","miken","S-1-5-21-331390976-2650875657-2422772959-1741","Nash","Nash","Senior Project Manager",
"Strategy Consulting","CN=Jenni Merrifield","True","Jenni","jennim@contoso.com","CN=David Maman","Jenni Merrifield","user","6884a642-9966-442a-ac80-6dfed9442a5b","(206) 555-3965","jennim","S-1-5-21-331390976-2650875657-2422772959-1742","Merrifield","Merrifield","Strategy Consultant",
"Operations","CN=Keith Dishmo","True","Keith","keithd@contoso.com","CN=Adam Barr","Keith Dishmo","user","b1bb9fc3-dcb0-4328-8d91-6d88ee78bc2d","(206) 555-7436","keithd","S-1-5-21-331390976-2650875657-2422772959-1743","Dishmo","Dishmo","Procurement Manager",
"Sales","CN=Jose Saraiva","True","Jose","joses@contoso.com","CN=Larry Zhang","Jose Saraiva","user","7e28daa4-228f-46fc-b8f1-f35d7e4ed03e","(206) 555-9337","joses","S-1-5-21-331390976-2650875657-2422772959-1744","Saraiva","Saraiva","Sales Manager",
"Human Resources","CN=Lene Aalling","True","Lene","lenea@contoso.com","CN=Steve Luper","Lene Aalling","user","309409a4-150e-44e3-93c5-f08458b243ee","(701) 555-3621","lenea","S-1-5-21-331390976-2650875657-2422772959-1745","Aalling","Aalling","Sales Manager",
"Project Management","CN=Barry Johnson","True","Barry","barryj@contoso.com","CN=Alan Steiner","Barry Johnson","user","23072c6f-3814-4be2-b4f1-ea74a3df4e40","(206) 555-8673","barryj","S-1-5-21-331390976-2650875657-2422772959-1746","Johnson","Johnson","Project Manager",
"Strategy Consulting","CN=Ellen Adams","True","Ellen","ellena@contoso.com","CN=Christine Koch","Ellen Adams","user","d856c97a-a02f-4b78-b966-1ea9cb9f28e7","(212) 555-1397","ellena","S-1-5-21-331390976-2650875657-2422772959-1747","Adams","Adams","Strategy Consulting Manager",
"Operations","CN=Ben Spain","True","Ben","bens@contoso.com","CN=Adam Barr","Ben Spain","user","c9b92bc2-af45-453d-a6cf-00ce57cbdc3d","(206) 555-8216","bens","S-1-5-21-331390976-2650875657-2422772959-1748","Spain","Spain","Manager",
"Engineering Operations","CN=David Zazzo","True","David","davidz@contoso.com","CN=Adam Barr","David Zazzo","user","8b066919-9f6c-4e45-8afe-7be6ab97853c","(206) 555-4122","davidz","S-1-5-21-331390976-2650875657-2422772959-1749","Zazzo","Zazzo","Managing Director",
"Engineering Operations","CN=Carol Troup","True","Carol","carolt@contoso.com","CN=David Zazzo","Carol Troup","user","33d6a6a2-3615-4f0c-aa26-c15016432a24","(206) 555-7223","carolt","S-1-5-21-331390976-2650875657-2422772959-1750","Troup","Troup","Strategy Consulting Manager",
"Operations","CN=Erika Cheley","True","Erika","erikac@contoso.com","CN=Ben Spain","Erika Cheley","user","a29140f9-13c6-4849-9890-0687072dece8","(206) 555-1242","erikac","S-1-5-21-331390976-2650875657-2422772959-1751","Cheley","Cheley","Manager",
"Project Management","CN=Brian Groth","True","Brian","briang@contoso.com","CN=Barry Johnson","Brian Groth","user","49576048-c1ae-4c61-b876-2608434f81ed","(206) 555-9642","briang","S-1-5-21-331390976-2650875657-2422772959-1752","Groth","Groth","Project Manager",
"CRM Strategy","CN=Syed Abbas","True","Syed","syeda@contoso.com","CN=Aaron Painter","Syed Abbas","user","2cfdb538-a03d-44b1-a0f2-b7ef32b713a7","(20) 5555-4595","syeda","S-1-5-21-331390976-2650875657-2422772959-1753","Abbas","Abbas","CRM Consulting Manager",
"IT Support","CN=Peder Thode","True","Peder","pedert@contoso.com","CN=Stan Orme","Peder Thode","user","45a85a2d-37c8-47e6-9a5a-6f6bc2c7421e","(20) 5555-7862","pedert","S-1-5-21-331390976-2650875657-2422772959-1754","Thode","Thode","Content Management Consultant",
"IT Support","CN=Mary Cha","True","Mary","maryc@contoso.com","CN=Stan Orme","Mary Cha","user","87d72a92-cf0c-40f5-b5a2-075d0fc9da0b","(20) 5555-4594","maryc","S-1-5-21-331390976-2650875657-2422772959-1755","Cha","Cha","Content Management Consultant",
"IT Support","CN=Lisa Andrews","True","Lisa","lisaa@contoso.com","CN=Stan Orme","Lisa Andrews","user","5b517785-ce63-4d9e-9564-75f60db5baa4","(20) 5555-7545","lisaa","S-1-5-21-331390976-2650875657-2422772959-1756","Andrews","Andrews","Content Management Consultant",
"IT Support","CN=Jim Lucey","True","Jim","jiml@contoso.com","CN=Stan Orme","Jim Lucey","user","49b7abb0-7c7e-4052-907c-16f5825683eb","(20) 5555-1626","jiml","S-1-5-21-331390976-2650875657-2422772959-1757","Lucey","Lucey","Content Management Consultant",
"IT Support","CN=Gareth Chan","True","Gareth","garethc@contoso.com","CN=Stan Orme","Gareth Chan","user","6cfde6df-e2d3-4958-8697-ef78729cbe51","(20) 5555-5894","garethc","S-1-5-21-331390976-2650875657-2422772959-1758","Chan","Chan","Content Management Consultant",
"CRM Strategy","CN=Karin Lamb","True","Karin","karinl@contoso.com","CN=Syed Abbas","Karin Lamb","user","011a88bc-7df9-4d92-ba1f-2ff319e101e1","(20) 5555-9834","karinl","S-1-5-21-331390976-2650875657-2422772959-1759","Lamb","Lamb","CRM Consultant",
"IT Support","CN=David Hamilton","True","David","davidh@contoso.com","CN=Stan Orme","David Hamilton","user","d37da227-e452-489e-bf60-b8d87a4c32c0","(20) 5555-7963","davidh","S-1-5-21-331390976-2650875657-2422772959-1760","Hamilton","Hamilton","CRM Consultant",
"CRM Strategy","CN=Merav Sror","True","Merav","meravs@contoso.com","CN=Syed Abbas","Merav Sror","user","19810018-8a60-4216-8597-80262e5712d0","(20) 5555-2697","meravs","S-1-5-21-331390976-2650875657-2422772959-1761","Sror","Sror","CRM Consultant",
"IT Support","CN=Reina Cabatana","True","Reina","reinac@contoso.com","CN=Stan Orme","Reina Cabatana","user","cedb0e6a-9974-4293-8286-7dc8f5985e8a","(20) 5555-3658","reinac","S-1-5-21-331390976-2650875657-2422772959-1762","Cabatana","Cabatana","Content Management Consultant",
"IT Support","CN=Robin Young","True","Robin","robiny@contoso.com","CN=Stan Orme","Robin Young","user","a7123b9f-1060-4213-b5bb-f971303cf182","(212) 555-4428","robiny","S-1-5-21-331390976-2650875657-2422772959-1763","Young","Young","Content Management Consultant",
"IT Support","CN=Peter Saddow","True","Peter","peters@contoso.com","CN=Stan Orme","Peter Saddow","user","7c2df1cf-6aef-4b5a-8666-e8fbe1f97663","(212) 555-9437","peters","S-1-5-21-331390976-2650875657-2422772959-1764","Saddow","Saddow","Content Management Consultant",
"IT Support","CN=Vladimir Egorov","True","Vladimir","vladime@contoso.com","CN=Stan Orme","Vladimir Egorov","user","c664caf1-1023-4a0d-a90d-ec891eb89e61","(212) 555-9441","vladime","S-1-5-21-331390976-2650875657-2422772959-1765","Egorov","Egorov","Content Management Consultant",
"IT Support","CN=Esther Valle","True","Esther","estherv@contoso.com","CN=Stan Orme","Esther Valle","user","b5dfbef4-8ca8-49f5-a2de-4af33b175552","(20) 5555-8548","estherv","S-1-5-21-331390976-2650875657-2422772959-1766","Valle","Valle","Content Management Consultant",
"Strategy Consulting","CN=Lori Kane","True","Lori","lorik@contoso.com","CN=Brad Sutton","Lori Kane","user","f5a2b7f2-35c5-471e-a8c7-4569ad2861f5","(206) 555-5292","lorik","S-1-5-21-331390976-2650875657-2422772959-1767","Kane","Kane","Strategy Consultant",
"Engineering Operations","CN=Cliff Diddier","True","Cliff","cliffd@contoso.com","CN=Carol Troup","Cliff Diddier","user","8e18794b-7b4d-4375-b3cd-bcf6199926da","(206) 555-3748","cliffd","S-1-5-21-331390976-2650875657-2422772959-1768","Diddier","Diddier","Engineer",
"Engineering Operations","CN=Chen Yang","True","Chen","cheny@contoso.com","CN=Carol Troup","Chen Yang","user","7e60ff5a-c38b-4815-8f00-61b269a8f083","(206) 555-6173","cheny","S-1-5-21-331390976-2650875657-2422772959-1769","Yang","Yang","Engineer",
"Engineering Operations","CN=Bernard Tham","True","Bernard","bernart@contoso.com","CN=Carol Troup","Bernard Tham","user","51ae8f34-698e-4651-a429-2cb825cbe449","(206) 555-3119","bernart","S-1-5-21-331390976-2650875657-2422772959-1770","Tham","Tham","Engineer",
"Engineering Operations","CN=Ari Suominen","True","Ari","aris@contoso.com","CN=Carol Troup","Ari Suominen","user","74de80f2-9eab-4c4c-8df5-af0dc32f16ca","(206) 555-7231","aris","S-1-5-21-331390976-2650875657-2422772959-1771","Suominen","Suominen","Engineer",
"CEO","CN=Anu Deshpande","True","Anu","anud@contoso.com","CN=Carol Troup","Anu Deshpande","user","eaea736d-6e68-4047-bb22-ca7f8a793ccb","(206) 555-6699","anud","S-1-5-21-331390976-2650875657-2422772959-1772","Deshpande","Deshpande","Engineer",
"Engineering Operations","CN=Allan Guinot","True","Allan","allang@contoso.com","CN=Carol Troup","Allan Guinot","user","5914122f-d433-4094-9a83-7fcbdcecaec6","(206) 555-6127","allang","S-1-5-21-331390976-2650875657-2422772959-1773","Guinot","Guinot","Engineer",
"CRM Strategy","CN=Toby Nixon","True","Toby","tobyn@contoso.com","CN=Syed Abbas","Toby Nixon","user","9149465d-e566-4c1a-801d-8d01c3c00dea","(20) 5555-4379","tobyn","S-1-5-21-331390976-2650875657-2422772959-1774","Nixon","Nixon","CRM Consultant",
"CRM Strategy","CN=Tad Orman","True","Tad","tado@contoso.com","CN=Syed Abbas","Tad Orman","user","dbf9f74b-86a4-4341-aaca-49c7ccbe7485","(20) 5555-4625","tado","S-1-5-21-331390976-2650875657-2422772959-1775","Orman","Orman","CRM Consultant",
"CRM Strategy","CN=Jeff Williams","True","Jeff","jeffw@contoso.com","CN=Syed Abbas","Jeff Williams","user","b739469e-df71-454e-ac05-3fc3e8baeeaf","(20) 5555-2592","jeffw","S-1-5-21-331390976-2650875657-2422772959-1776","Williams","Williams","CRM Consultant",
"Strategy Consulting","CN=Frank Miller","True","Frank","frankm@contoso.com","CN=David Maman","Frank Miller","user","dece205a-6795-433d-99a3-2ba2f993cfff","(212) 555-5231","frankm","S-1-5-21-331390976-2650875657-2422772959-1777","Miller","Miller","Strategy Consultant",
"Strategy Consulting","CN=William Vong","True","William","williav@contoso.com","CN=Cesar Garcia","William Vong","user","cc0fab94-80c4-40c6-bad2-e9cf5eef6f2b","(212) 555-5864","williav","S-1-5-21-331390976-2650875657-2422772959-1778","Vong","Vong","Strategy Consultant",
"Strategy Consulting","CN=Sameer Tejani","True","Sameer","sameert@contoso.com","CN=Ellen Adams","Sameer Tejani","user","d0195cfd-7e9a-4ee8-b838-ec43edba4c68","(212) 555-5422","sameert","S-1-5-21-331390976-2650875657-2422772959-1779","Tejani","Tejani","Strategy Consultant",
"Strategy Consulting","CN=Jon Jaffe","True","Jon","jonj@contoso.com","CN=Brad Sutton","Jon Jaffe","user","be7519a0-a110-4627-914f-03038b7bc4d1","(206) 555-5499","jonj","S-1-5-21-331390976-2650875657-2422772959-1780","Jaffe","Jaffe","Strategy Consultant",
"Strategy Consulting","CN=Mike Ray","True","Mike","miker@contoso.com","CN=David Maman","Mike Ray","user","c70fcbcf-e7bc-4e23-bd15-139963b85547","(212) 555-1665","miker","S-1-5-21-331390976-2650875657-2422772959-1781","Ray","Ray","Strategy Consultant",
"IT Support","CN=Robert O'Hara","True","Robert","roberto@contoso.com","CN=Stan Orme","Robert O'Hara","user","559cc2f4-1762-40a0-9d58-cd724781215c","(206) 555-3434","roberto","S-1-5-21-331390976-2650875657-2422772959-1782","O'Hara","O'Hara","Content Management Consultant",
"Strategy Consulting","CN=Lisa Miller","True","Lisa","lisam@contoso.com","CN=Cesar Garcia","Lisa Miller","user","6337b7f5-b5ad-4931-b33a-9df49f032922","(206) 555-7947","lisam","S-1-5-21-331390976-2650875657-2422772959-1783","Miller","Miller","Strategy Consultant",
"CRM Strategy","CN=Jason Carlson","True","Jason","jasonc@contoso.com","CN=Syed Abbas","Jason Carlson","user","5e5d6b8f-1344-4e70-a962-b952caeed4c1","(20) 5555-6548","jasonc","S-1-5-21-331390976-2650875657-2422772959-1784","Carlson","Carlson","CRM Consultant",
"Strategy Consulting","CN=Jim Corbin","True","Jim","jimc@contoso.com","CN=David Maman","Jim Corbin","user","49c4721e-48b4-48b2-997f-633fb4afb540","(206) 555-8157","jimc","S-1-5-21-331390976-2650875657-2422772959-1785","Corbin","Corbin","Strategy Consultant",
"Strategy Consulting","CN=Jesus Escolar","True","Jesus","jesuse@contoso.com","CN=Aaron Painter","Jesus Escolar","user","49ee2aac-d40f-46a2-8520-0218b5e42a49","(206) 555-5784","jesuse","S-1-5-21-331390976-2650875657-2422772959-1786","Escolar","Escolar","Strategy Consultant",
"Strategy Consulting","CN=Idan Rubin","True","Idan","idanr@contoso.com","CN=Brad Sutton","Idan Rubin","user","0d15bba1-f9e9-48d1-98e2-34d2407e6f86","(206) 555-5862","idanr","S-1-5-21-331390976-2650875657-2422772959-1787","Rubin","Rubin","Strategy Consultant",
"Strategy Consulting","CN=Don Hall","True","Don","donh@contoso.com","CN=Ellen Adams","Don Hall","user","dcc10729-8dbe-426d-b6ac-0a95e9a2f0d7","(206) 555-3518","donh","S-1-5-21-331390976-2650875657-2422772959-1788","Hall","Hall","Strategy Consultant",
"Strategy Consulting","CN=Blaine Dockter","True","Blaine","blained@contoso.com","CN=Ellen Adams","Blaine Dockter","user","8550e839-78e9-4c42-85b7-1bfdf8aa8ed6","(206) 555-4484","blained","S-1-5-21-331390976-2650875657-2422772959-1789","Dockter","Dockter","Strategy Consultant",
"Strategy Consulting","CN=Anne Weiler","True","Anne","annew@contoso.com","CN=Cesar Garcia","Anne Weiler","user","4b6ea132-e8fa-4d67-b0e9-c194d201309d","(206) 555-6443","annew","S-1-5-21-331390976-2650875657-2422772959-1790","Weiler","Weiler","Strategy Consultant",
"Strategy Consulting","CN=Allison Brown","True","Allison","allisob@contoso.com","CN=Aaron Painter","Allison Brown","user","dda65c86-f801-448a-b447-823aee708d4e","(206) 555-5461","allisob","S-1-5-21-331390976-2650875657-2422772959-1791","Brown","Brown","Strategy Consultant",
"Engineering Operations","CN=Valery Ushakov","True","Valery","valeryu@contoso.com","CN=Carol Troup","Valery Ushakov","user","4bbaa4f6-bf32-4895-a632-147b0450d68a","(206) 555-3599","valeryu","S-1-5-21-331390976-2650875657-2422772959-1792","Ushakov","Ushakov","Engineer",
"CRM Strategy","CN=Tosh Meston","True","Tosh","toshm@contoso.com","CN=Syed Abbas","Tosh Meston","user","e01a7ab1-0498-4364-86cc-7b22410d48f3","(20) 5555-1394","toshm","S-1-5-21-331390976-2650875657-2422772959-1793","Meston","Meston","CRM Consultant",
"IT Support","CN=Sanjay Patel","True","Sanjay","sanjayp@contoso.com","CN=Stan Orme","Sanjay Patel","user","eddf81c2-bd05-46d7-9795-e7890e209b45","(206) 555-5542","sanjayp","S-1-5-21-331390976-2650875657-2422772959-1794","Patel","Patel","Content Management Consultant",
"Strategy Consulting","CN=Roland Wacker","True","Roland","rolandw@contoso.com","CN=Aaron Painter","Roland Wacker","user","61239bbd-fdeb-422b-8efe-40edc8dffaaf","(212) 555-8236","rolandw","S-1-5-21-331390976-2650875657-2422772959-1795","Wacker","Wacker","Strategy Consultant",
"IT Staff","CN=David Derwin","True","David","davidd@contoso.com","CN=Brian Groth","David Derwin","user","fcb614d3-c39a-4781-b7bd-8b96f5a5100d","(206) 555-7749","davidd","S-1-5-21-331390976-2650875657-2422772959-1796","Derwin","Derwin","Project Manager",
"Strategy Consulting","CN=John Yokum","True","John","johny@contoso.com","CN=Ellen Adams","John Yokum","user","90291c8d-f900-4762-96ad-c2eb1002686d","(206) 555-8147","johny","S-1-5-21-331390976-2650875657-2422772959-1797","Yokum","Yokum","Strategy Consultant",
"IT Staff","CN=Scott Rockfield","True","Scott","scottr@contoso.com","CN=Brian Groth","Scott Rockfield","user","23239dc3-116b-4947-8e54-37a574aace9e","(206) 555-5233","scottr","S-1-5-21-331390976-2650875657-2422772959-1798","Rockfield","Rockfield","Project Manager",
"IT Staff","CN=Humberto Acevedo","True","Humberto","humbera@contoso.com","CN=Brian Groth","Humberto Acevedo","user","cff32e30-7047-4c64-a1d6-04d478287546","(206) 555-9549","humbera","S-1-5-21-331390976-2650875657-2422772959-1799","Acevedo","Acevedo","Project Manager",
"IT Staff","CN=David So","True","David","davids1@contoso.com","CN=Brian Groth","David So","user","b330d274-7fcd-450d-af45-1eaceca06a4c","(206) 555-1459","davids1","S-1-5-21-331390976-2650875657-2422772959-1800","So","So","Project Manager",
"IT Staff","CN=Anders Madsen","True","Anders","andersm@contoso.com","CN=Brian Groth","Anders Madsen","user","09613928-992c-4328-8024-7e22919ef2b3","(206) 555-7593","andersm","S-1-5-21-331390976-2650875657-2422772959-1801","Madsen","Madsen","Project Manager",
"IT Staff","CN=Alexandre Silva","True","Alexandre","alexans@contoso.com","CN=Brian Groth","Alexandre Silva","user","2ff50834-a953-426c-a3f4-397e2c7ad961","(206) 555-5413","alexans","S-1-5-21-331390976-2650875657-2422772959-1802","Silva","Silva","Project Manager",
"IT Staff","CN=Stuart Munson","True","Stuart","stuartm@contoso.com","CN=Brian Groth","Stuart Munson","user","eb91a45a-463d-4fd8-9036-cbacc05860a5","(206) 555-9366","stuartm","S-1-5-21-331390976-2650875657-2422772959-1803","Munson","Munson","Project Manager",
"IT Staff","CN=Qiong Wu","True","Qiong","qiongw@contoso.com","CN=Brian Groth","Qiong Wu","user","98610f21-6f4a-4c66-8b52-006eb7c51ba2","(206) 555-2342","qiongw","S-1-5-21-331390976-2650875657-2422772959-1804","Wu","Wu","Project Manager",
